author_name,developer_type,is_se_engineer,is_ml_engineer,is_hybrid_engineer,total_commits,projects_contributed,total_files_touched,owned_files,bugs_introduced,bugs_fixed,bug_introducing_ratio,deadcode_items_attribute,deadcode_items_class,deadcode_items_function,deadcode_items_other,deadcode_items_property,deadcode_items_total,deadcode_items_variable,design_smell_broken_hierarchy,design_smell_broken_modularization,design_smell_deep_hierarchy,design_smell_deficient_encapsulation,design_smell_feature_envy,design_smell_hub_like_modularization,design_smell_insufficient_modularization,design_smell_multifaceted_abstraction,design_smell_rebellious_hierarchy,design_smell_wide_hierarchy,fix_commit,impl_smell_complex_conditional,impl_smell_complex_method,impl_smell_empty_catch_clause,impl_smell_long_identifier,impl_smell_long_lambda_function,impl_smell_long_message_chain,impl_smell_long_method,impl_smell_long_parameter_list,impl_smell_long_statement,impl_smell_magic_number,impl_smell_missing_default,mlsmell_broadcasting_feature_not_used,mlsmell_chain_indexing,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_dataframe_conversion_api_misused,mlsmell_deterministic_algorithm_option_not_used,mlsmell_empty_column_misinitialization,mlsmell_gradients_not_cleared,mlsmell_hyperparameters_not_explicitly_set,mlsmell_in_place_apis_misused,mlsmell_matrix_multiplication_api_misused,mlsmell_memory_not_freed,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_nan_equivalence_comparison_misused,mlsmell_pytorch_call_method_misused,mlsmell_tensor_array_not_used,mlsmell_unnecessary_iteration,szz_introducing_commits_count,vuln_bandit_issues_high,vuln_bandit_issues_low,vuln_bandit_issues_medium,vuln_bandit_issues_total,vuln_bandit_test_ids
Akshar Kottuvada,SE-engineer,1,0,0,1,['nikicc twitter emotion recognition'],,[],0,0,0.0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akshay Chaudhari,SE-engineer,1,0,0,2,['ad12 DOSMA'],3.0,[],0,0,0.0,24,0,8,9,0,83,42,2,5,0,6,7,0,0,7,3,0,0,0,33,0,14,0,0,3,3,261,173,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bozarth,SE-engineer,1,0,0,14,"['IBM MAX Fast Neural Style Transfer', 'IBM MAX Inception ResNet v2', 'IBM MAX Review Text Generator', 'IBM MAX Scene Classifier', 'IBM MAX Weather Forecaster']",1.0,[],0,0,0.0,0,18,0,37,0,115,60,0,16,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,47,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Alexander Pivovarov,Hybrid-engineer,0,0,1,91,['neo ai neo ai dlr'],19.0,"['neo ai neo ai dlr::container/ec2_compilation_container/compile_gluoncv.py', 'neo ai neo ai dlr::container/ec2_compilation_container/compile_keras.py', 'neo ai neo ai dlr::container/ec2_compilation_container/compile_tensorflow.py', 'neo ai neo ai dlr::container/ec2_compilation_container/tvm_ec2_compiler_utils.py', 'neo ai neo ai dlr::examples/android/tvm_compiler/compile_gluoncv.py', 'neo ai neo ai dlr::examples/android/tvm_compiler/compile_keras.py', 'neo ai neo ai dlr::examples/android/tvm_compiler/compile_tensorflow.py', 'neo ai neo ai dlr::examples/android/tvm_compiler/tvm_compiler_utils.py', 'neo ai neo ai dlr::python/dlr/libpath.py', 'neo ai neo ai dlr::python/dlr/tf_model.py', 'neo ai neo ai dlr::python/dlr/tflite_model.py', 'neo ai neo ai dlr::tests/python/unittest/test_tf_model.py', 'neo ai neo ai dlr::tests/python/unittest/test_tflite_model.py']",21,11,0.23076923076923078,242,38,475,1155,0,5078,3168,0,0,0,325,435,0,48,176,21,0,11,91,894,0,361,0,49,35,22,5005,3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Alexey Svyatkovskiy,SE-engineer,1,0,0,1,['tech srl code2vec'],1.0,['tech srl code2vec::CSharpExtractor/extract.py'],0,0,0.0,0,0,0,9,0,14,5,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,2,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Akbar,SE-engineer,1,0,0,1,['kk7nc Text Classification'],,[],0,0,0.0,2,0,3,15,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,23,31,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistair Johnson,SE-engineer,1,0,0,2,['Tiiiger bert score'],,[],0,0,0.0,0,0,0,28,0,32,4,4,0,0,8,0,0,0,4,0,0,0,0,20,0,2,0,0,12,14,128,36,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro,SE-engineer,1,0,0,3,['lvapeab ABiViRNet'],10.0,['lvapeab ABiViRNet::utils/__init__.py'],0,0,0.0,6,8,21,6,0,285,244,0,0,0,0,0,0,0,1,0,0,0,0,7,0,4,0,0,8,5,37,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro Viebrantz,SE-engineer,1,0,0,12,['alvarowolfx gcloud iot edge tensorflow'],,[],0,0,0.0,0,0,22,55,0,121,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,77,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Am rico Oliveira,ML-engineer,0,1,0,106,['americofmoliveira VesselSegmentation ESWA'],21.0,"['americofmoliveira VesselSegmentation ESWA::code/bsa/CHASE_files.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/DRIVE_files.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/STARE_files.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/batch.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/cases.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/data_files.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/exceptions.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/file_resource.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/layers.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/patch.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/prediction.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/transform_image.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/transform_patch.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/unet.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/util.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/utils/__init__.py', 'americofmoliveira VesselSegmentation ESWA::code/bsa/utils/os_path.py', 'americofmoliveira VesselSegmentation ESWA::code/nnet_state/tmp.py', 'americofmoliveira VesselSegmentation ESWA::code/vessel_seg.py', 'americofmoliveira VesselSegmentation ESWA::image_level_results/file_io.py', 'americofmoliveira VesselSegmentation ESWA::statistical_comparison/file_io.py']",2,3,0.018867924528301886,296,111,703,518,74,1813,111,148,185,0,111,37,0,37,37,0,0,3,0,408,0,0,0,0,0,333,1076,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,37,B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101B101
Ameer Haj Ali,Hybrid-engineer,0,0,1,1,['tech srl code2vec'],1.0,[],0,0,0.0,6,0,0,29,5,42,2,0,1,0,3,0,0,2,3,2,0,0,1,7,0,42,2,0,1,3,149,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Ponza,SE-engineer,1,0,0,4,['dougsm mvp grasp'],1.0,[],0,0,0.0,80,0,24,76,4,212,28,0,0,0,8,12,0,4,8,0,0,0,0,16,0,8,4,16,8,20,224,636,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Andres F Perez,SE-engineer,1,0,0,3,['afperezm acoustic images distillation'],,[],0,0,0.0,6,0,15,9,0,36,6,0,3,0,6,6,0,0,12,0,0,0,0,30,0,15,0,0,12,54,276,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Felipe Perez Murcia,Hybrid-engineer,0,0,1,13,['afperezm acoustic images distillation'],25.0,"['afperezm acoustic images distillation::codebase/__init__.py', 'afperezm acoustic images distillation::codebase/data/__init__.py', 'afperezm acoustic images distillation::codebase/data/actions_data.py', 'afperezm acoustic images distillation::codebase/loggers/__init__.py', 'afperezm acoustic images distillation::codebase/loggers/logger.py', 'afperezm acoustic images distillation::codebase/models/__init__.py', 'afperezm acoustic images distillation::codebase/models/audition.py', 'afperezm acoustic images distillation::codebase/models/dualcamnet.py', 'afperezm acoustic images distillation::codebase/models/hearnet.py', 'afperezm acoustic images distillation::codebase/models/multimodal.py', 'afperezm acoustic images distillation::codebase/models/resnet_temporal.py', 'afperezm acoustic images distillation::codebase/models/resnet_utils.py', 'afperezm acoustic images distillation::codebase/models/shared.py', 'afperezm acoustic images distillation::codebase/models/soundnet.py', 'afperezm acoustic images distillation::codebase/models/vision.py', 'afperezm acoustic images distillation::codebase/trainers/__init__.py', 'afperezm acoustic images distillation::codebase/trainers/one_stream.py', 'afperezm acoustic images distillation::codebase/trainers/two_streams.py', 'afperezm acoustic images distillation::main_s1.py', 'afperezm acoustic images distillation::main_s2.py', 'afperezm acoustic images distillation::setup.py', 'afperezm acoustic images distillation::utils/__init__.py', 'afperezm acoustic images distillation::utils/compute_stats.py', 'afperezm acoustic images distillation::utils/convert_data.py', 'afperezm acoustic images distillation::utils/generate_lists.py']",0,2,0.0,26,0,65,39,0,156,26,0,13,0,26,26,0,0,52,0,0,2,0,130,0,65,0,0,52,234,1203,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Ziem,SE-engineer,1,0,0,1,['gsurma cartpole'],,[],0,0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ange Tato,ML-engineer,0,1,0,41,['angetato Optimizers for Tensorflow'],16.0,"['angetato Optimizers for Tensorflow::AAdam.py', 'angetato Optimizers for Tensorflow::AAdam01.py', 'angetato Optimizers for Tensorflow::AAdam02.py', 'angetato Optimizers for Tensorflow::AAdam_Old.py', 'angetato Optimizers for Tensorflow::AAdam_V1.py', 'angetato Optimizers for Tensorflow::Adam.py', 'angetato Optimizers for Tensorflow::NAdam.py', 'angetato Optimizers for Tensorflow::logisticR_mnist.py', 'angetato Optimizers for Tensorflow::mlp_mnist.py', 'angetato Optimizers for Tensorflow::neuralnets-testing-optimizers.py', 'angetato Optimizers for Tensorflow::tf_utils/AAdam.py', 'angetato Optimizers for Tensorflow::tf_utils/AAdam01.py', 'angetato Optimizers for Tensorflow::tf_utils/AAdam02.py', 'angetato Optimizers for Tensorflow::tf_utils/AAdam_Old.py', 'angetato Optimizers for Tensorflow::tf_utils/Adam.py', 'angetato Optimizers for Tensorflow::tf_utils/NAdam.py']",0,0,0.0,0,7,0,1226,0,1819,586,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,168,197,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ange Tato the alien,SE-engineer,1,0,0,3,['angetato Optimizers for Tensorflow'],,[],0,0,0.0,0,0,0,126,0,186,60,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,24,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animesh Singh,SE-engineer,1,0,0,6,"['IBM MAX Fast Neural Style Transfer', 'IBM MAX Inception ResNet v2', 'IBM MAX Review Text Generator', 'IBM MAX Scene Classifier', 'IBM MAX Weather Forecaster']",,[],0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankit Dhankhar,SE-engineer,1,0,0,1,['JdeRobot DetectionSuite'],,[],0,0,0.0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankur Singh,Hybrid-engineer,0,0,1,30,['ankur219 ECG Arrhythmia classification'],6.0,"['ankur219 ECG Arrhythmia classification::app.py', 'ankur219 ECG Arrhythmia classification::cropping.py', 'ankur219 ECG Arrhythmia classification::ecgSignalsToImage.py', 'ankur219 ECG Arrhythmia classification::gettingData.py', 'ankur219 ECG Arrhythmia classification::model.py', 'ankur219 ECG Arrhythmia classification::segmentation.py']",0,0,0.0,0,0,60,119,0,179,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,694,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,SE-engineer,1,0,0,3,['ad12 DOSMA'],,[],1,1,0.3333333333333333,69,12,9,28,3,229,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,3,0,3,B101B101B101
Antoine J P Tixier,SE-engineer,1,0,0,10,['Tixierae graph 2D CNN'],,[],2,1,0.2,0,0,0,27,0,35,8,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
